# 
# Header Description:
# 
# Version: v3.0.6.1 Platform: 11 Manufacturer: Realme Model: RMX1851
# 
# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
# 
# UncalAccel,utcTimeMillis,elapsedRealtimeNanos,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
# 
# Accel,utcTimeMillis,elapsedRealtimeNanos,AccelXMps2,AccelYMps2,AccelZMps2
# 
# UncalGyro,utcTimeMillis,elapsedRealtimeNanos,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec
# 
# Gyro,utcTimeMillis,elapsedRealtimeNanos,GyroXRadPerSec,GyroYRadPerSec,GyroZRadPerSec
# 
# UncalMag,utcTimeMillis,elapsedRealtimeNanos,UncalMagXMicroT,UncalMagYMicroT,UncalMagZMicroT,BiasXMicroT,BiasYMicroT,BiasZMicroT
# 
# Mag,utcTimeMillis,elapsedRealtimeNanos,MagXMicroT,MagYMicroT,MagZMicroT
# 
# OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg
# 
# Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters
# 
# Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# 
Status,1682241288000,34,4,1,24,1575420030,16.10,232.0,23.0,1,1,0,16.1
Status,1682241288000,34,5,1,6,1575420030,0.00,35.0,13.0,0,1,0,0.0
Status,1682241288000,34,6,1,13,1575420030,0.00,165.0,10.0,0,1,0,0.0
Status,1682241288000,34,7,1,19,1575420030,0.00,74.0,21.0,0,1,0,0.0
Status,1682241288000,34,8,1,25,1575420030,0.00,322.0,20.0,0,1,0,0.0
Status,1682241288000,34,9,3,9,1602000000,20.20,312.0,30.0,0,1,0,20.2
Status,1682241288000,34,10,3,16,1602000000,21.90,232.0,59.0,1,1,0,21.9
Status,1682241288000,34,11,3,18,1602000000,0.00,26.0,15.0,0,1,0,0.0
Status,1682241288000,34,12,3,15,1602000000,0.00,172.0,22.0,0,1,0,0.0
Status,1682241288000,34,13,3,19,1602000000,0.00,340.0,26.0,0,1,0,0.0
Status,1682241288000,34,14,3,3,1602000000,0.00,66.0,22.0,0,1,0,0.0
Status,1682241288000,34,15,3,4,1602000000,0.00,122.0,33.0,0,1,0,0.0
Status,1682241288000,34,16,5,8,1561097980,16.80,12.0,58.0,0,1,0,16.8
Status,1682241288000,34,17,5,13,1561097980,16.50,0.0,0.0,1,1,0,16.5
Status,1682241288000,34,18,5,19,1561097980,14.80,170.0,33.0,0,1,0,14.8
Status,1682241288000,34,19,5,1,1561097980,0.00,94.0,16.0,0,1,0,0.0
Status,1682241288000,34,20,5,2,1561097980,0.00,163.0,73.0,0,1,0,0.0
Status,1682241288000,34,21,5,3,1561097980,0.00,109.0,52.0,0,1,0,0.0
Status,1682241288000,34,22,5,5,1561097980,0.00,239.0,60.0,0,1,0,0.0
Status,1682241288000,34,23,5,7,1561097980,0.00,99.0,53.0,0,1,0,0.0
Status,1682241288000,34,24,5,10,1561097980,0.00,78.0,64.0,0,1,0,0.0
Status,1682241288000,34,25,5,20,1561097980,0.00,102.0,45.0,0,1,0,0.0
Status,1682241288000,34,26,5,29,1561097980,0.00,345.0,36.0,0,1,0,0.0
Status,1682241288000,34,27,5,30,1561097980,0.00,49.0,23.0,0,1,0,0.0
Status,1682241288000,34,28,6,21,1575420030,18.80,309.0,67.0,1,1,0,18.8
Status,1682241288000,34,29,6,26,1575420030,15.90,293.0,41.0,0,1,0,15.9
Status,1682241288000,34,30,6,1,1575420030,0.00,322.0,18.0,0,1,0,0.0
Status,1682241288000,34,31,6,7,1575420030,0.00,146.0,20.0,0,1,0,0.0
Status,1682241288000,34,32,6,13,1575420030,0.00,8.0,36.0,0,1,0,0.0
Status,1682241288000,34,33,6,27,1575420030,0.00,153.0,53.0,0,1,0,0.0
Fix,GPS,12.9859922900,80.2373229600,-57.777496337890625,0.0,16.164759,,1682241289000,0.37696153,,47152376769222,8.0
Raw,1682241288433,47177400000000,18,,-1366229329033206532,-0.3740243911743164,115.79319107113406,14.006759964530424,18.14024526200827,9,12,0.0,81935,33306362891068,35,22.8,-359.8929138183594,0.7294999957084656,16,0.0,0.0,1575420030,,,,0,,1,5.17,19.3,,,,,,47151806311678
Raw,1682241288433,47177400000000,18,,-1366229329033206532,-0.3740243911743164,115.79319107113406,14.006759964530424,18.14024526200827,9,21,0.0,89103,33306353941493,61,18.8,-155.2510986328125,0.871999979019165,16,0.0,0.0,1575420030,,,,0,,6,5.18,12.8,,,,,,47151806311678
Status,1682241289000,34,0,1,5,1575420030,15.50,184.0,62.0,0,1,0,15.5
Status,1682241289000,34,1,1,11,1575420030,15.20,1.0,43.0,1,1,0,15.2
Status,1682241289000,34,2,1,12,1575420030,23.70,324.0,53.0,1,1,0,23.7
Status,1682241289000,34,3,1,20,1575420030,10.50,73.0,79.0,0,1,0,10.5
Status,1682241289000,34,4,1,24,1575420030,16.10,232.0,23.0,1,1,0,16.1
Status,1682241289000,34,5,1,6,1575420030,0.00,35.0,13.0,0,1,0,0.0
Status,1682241289000,34,6,1,13,1575420030,0.00,165.0,10.0,0,1,0,0.0
Status,1682241289000,34,7,1,19,1575420030,0.00,74.0,21.0,0,1,0,0.0
Status,1682241289000,34,8,1,25,1575420030,0.00,322.0,20.0,0,1,0,0.0
Status,1682241289000,34,9,3,9,1602000000,12.20,312.0,30.0,0,1,0,12.2
Status,1682241289000,34,10,3,16,1602000000,21.90,232.0,59.0,1,1,0,21.9
Status,1682241289000,34,11,3,18,1602000000,0.00,26.0,15.0,0,1,0,0.0
Status,1682241289000,34,12,3,15,1602000000,0.00,172.0,22.0,0,1,0,0.0
Status,1682241289000,34,13,3,19,1602000000,0.00,340.0,26.0,0,1,0,0.0
Status,1682241289000,34,14,3,3,1602000000,0.00,66.0,22.0,0,1,0,0.0
Status,1682241289000,34,15,3,4,1602000000,0.00,122.0,33.0,0,1,0,0.0
Status,1682241289000,34,16,5,8,1561097980,16.80,12.0,58.0,0,1,0,16.8
Status,1682241289000,34,17,5,13,1561097980,17.40,0.0,0.0,1,1,0,17.4
Status,1682241289000,34,18,5,19,1561097980,14.80,170.0,33.0,0,1,0,14.8
Status,1682241289000,34,19,5,1,1561097980,0.00,94.0,16.0,0,1,0,0.0
Status,1682241289000,34,20,5,2,1561097980,0.00,163.0,73.0,0,1,0,0.0
Status,1682241289000,34,21,5,3,1561097980,0.00,109.0,52.0,0,1,0,0.0
Status,1682241289000,34,22,5,5,1561097980,0.00,239.0,60.0,0,1,0,0.0
Status,1682241289000,34,23,5,7,1561097980,0.00,99.0,53.0,0,1,0,0.0
Status,1682241289000,34,24,5,10,1561097980,0.00,78.0,64.0,0,1,0,0.0
Status,1682241289000,34,25,5,20,1561097980,0.00,102.0,45.0,0,1,0,0.0
Status,1682241289000,34,26,5,29,1561097980,0.00,345.0,36.0,0,1,0,0.0
Status,1682241289000,34,27,5,30,1561097980,0.00,49.0,23.0,0,1,0,0.0
Status,1682241289000,34,28,6,21,1575420030,20.10,309.0,67.0,1,1,0,20.1
Status,1682241289000,34,29,6,26,1575420030,15.90,293.0,41.0,0,1,0,15.9
Status,1682241289000,34,30,6,1,1575420030,0.00,322.0,18.0,0,1,0,0.0
Status,1682241289000,34,31,6,7,1575420030,0.00,146.0,20.0,0,1,0,0.0
Status,1682241289000,34,32,6,13,1575420030,0.00,8.0,36.0,0,1,0,0.0
Status,1682241289000,34,33,6,27,1575420030,0.00,153.0,53.0,0,1,0,0.0
Fix,GPS,12.9859922800,80.2373229500,-57.775909423828125,0.0,15.970657,,1682241290000,0.37696153,,47153376769222,6.0
Raw,1682241289433,47178400000000,18,,-1366229329033206524,-0.4317054748535156,125.67243538796902,10.206974436809945,19.873005021745513,9,9,0.0,49359,44089361511564,223,12.2,-418.33770751953125,7.178000450134277,16,0.0,0.0,1600875010,,,,0,,3,8.04,9.2,,,,,,47152806311670
Raw,1682241289433,47178400000000,18,,-1366229329033206524,-0.4317054748535156,125.67243538796902,10.206974436809945,19.873005021745513,9,5,0.0,81935,33307364255862,169,15.5,-354.98333740234375,6.512500286102295,16,0.0,0.0,1575420030,,,,0,,1,10.07,12.0,,,,,,47152806311670
Raw,1682241289433,47178400000000,18,,-1366229329033206524,-0.4317054748535156,125.67243538796902,10.206974436809945,19.873005021745513,9,12,0.0,81935,33307362892281,31,23.7,-359.674072265625,0.6694999933242798,16,0.0,0.0,1575420030,,,,0,,1,10.07,20.2,,,,,,47152806311670
Raw,1682241289433,47178400000000,18,,-1366229329033206524,-0.4317054748535156,125.67243538796902,10.206974436809945,19.873005021745513,9,13,0.0,16399,33293312379333,73,17.4,129.63626098632812,1.684499979019165,16,0.0,0.0,1561097980,,,,0,,5,9.76,11.399999999999999,,,,,,47152806311670
Raw,1682241289433,47178400000000,18,,-1366229329033206524,-0.4317054748535156,125.67243538796902,10.206974436809945,19.873005021745513,9,21,0.0,89103,33307353941935,46,20.1,-155.89808654785156,0.7519999742507935,16,0.0,0.0,1575420030,,,,0,,6,10.09,14.100000000000001,,,,,,47152806311670
Status,1682241290000,34,0,1,5,1575420030,21.90,184.0,62.0,1,1,0,21.9
Status,1682241290000,34,1,1,11,1575420030,13.40,1.0,43.0,1,1,0,13.4
Status,1682241290000,34,2,1,12,1575420030,24.50,324.0,53.0,1,1,0,24.5
Status,1682241290000,34,3,1,20,1575420030,12.60,73.0,79.0,0,1,0,12.6
Status,1682241290000,34,4,1,24,1575420030,16.10,232.0,23.0,1,1,0,16.1
Status,1682241290000,34,5,1,6,1575420030,0.00,35.0,13.0,0,1,0,0.0
Status,1682241290000,34,6,1,13,1575420030,0.00,165.0,10.0,0,1,0,0.0
